categoria,codificador,platform,io_read_mitjana
cartoon,EVC,windows,5.135779190063476
cartoon,EVC,android,12262.40283203125
drone,EVC,windows,5.158248424530029
drone,EVC,android,12299.32587890625
film,EVC,windows,5.135757827758789
film,EVC,android,12320.44716796875
ia,EVC,windows,5.151683521270752
ia,EVC,android,12313.516137695313
interview,EVC,windows,5.167639350891113
interview,EVC,android,12323.126025390626
sport,EVC,windows,5.1485669136047365
sport,EVC,android,12068.289086914063
timelapse,EVC,windows,5.135733985900879
timelapse,EVC,android,12309.7939453125
videoclip,EVC,windows,5.151760673522949
videoclip,EVC,android,12323.679931640625
videogame,EVC,windows,5.135734558105469
videogame,EVC,android,12322.760009765625
cartoon,VVC,windows,5.1434478759765625
cartoon,VVC,android,12266.336889648437
drone,VVC,windows,5.132364273071289
drone,VVC,android,12317.37802734375
film,VVC,windows,5.143415451049805
film,VVC,android,12322.632958984375
ia,VVC,windows,5.159333229064941
ia,VVC,android,12315.934204101562
interview,VVC,windows,5.175327301025391
interview,VVC,android,12321.923095703125
sport,VVC,windows,5.15626335144043
sport,VVC,android,12338.05390625
timelapse,VVC,windows,5.1434173583984375
timelapse,VVC,android,12319.79599609375
videoclip,VVC,windows,5.145801544189453
videoclip,VVC,android,12321.305126953124
videogame,VVC,windows,5.143416404724121
videogame,VVC,android,12344.076904296875
