categoria,codificador,platform,mida_mitjana
cartoon,EVC,windows,1.357974147796631
cartoon,EVC,android,1.3540000140666961
drone,EVC,windows,2.4793274879455565
drone,EVC,android,2.4760000109672546
film,EVC,windows,1.4934343338012694
film,EVC,android,1.4880000114440919
ia,EVC,windows,2.543735885620117
ia,EVC,android,2.5409999907016756
interview,EVC,windows,1.090377140045166
interview,EVC,android,1.085999995470047
sport,EVC,windows,5.815467453002929
sport,EVC,android,5.812999892234802
timelapse,EVC,windows,2.7172101974487304
timelapse,EVC,android,2.7129999816417696
videoclip,EVC,windows,3.041051959991455
videoclip,EVC,android,3.036000007390976
videogame,EVC,windows,4.59157361984253
videogame,EVC,android,4.587999987602234
cartoon,VVC,windows,1.7974887847900392
cartoon,VVC,android,1.7879999816417693
drone,VVC,windows,3.4009420394897463
drone,VVC,android,3.3919999837875365
film,VVC,windows,2.2193735122680662
film,VVC,android,2.2110000014305116
ia,VVC,windows,3.8526189804077147
ia,VVC,android,3.8420000314712524
interview,VVC,windows,2.518725299835205
interview,VVC,android,2.508999991416931
sport,VVC,windows,5.215229415893555
sport,VVC,android,5.204000067710877
timelapse,VVC,windows,4.402928447723388
timelapse,VVC,android,4.393999969959259
videoclip,VVC,windows,2.905295467376709
videoclip,VVC,android,2.896000015735626
videogame,VVC,windows,4.578568935394287
videogame,VVC,android,4.570000028610229
