categoria,nom_video,codificador,platform,mida_sortida_mb,temps_total_sec,io_read_mb
cartoon,babybus.yuv,EVC,windows,1.01529,650.91,5.13079
cartoon,babybus.yuv,EVC,android,1.01,649.372,2231.4
cartoon,babybus.yuv,EVC,android,1.01,649.372,2231.4
cartoon,bernard.yuv,EVC,windows,1.19868,850.17,5.1319
cartoon,bernard.yuv,EVC,android,1.19,1024.73,4458.9
cartoon,bernard.yuv,EVC,android,1.19,1024.73,4458.9
cartoon,blanket.yuv,EVC,windows,1.19954,752.16,5.13301
cartoon,blanket.yuv,EVC,android,1.2,1000.69,6685.92
cartoon,blanket.yuv,EVC,android,1.2,1000.69,6685.92
cartoon,boulle.yuv,EVC,windows,0.365828,582.42,5.13411
cartoon,boulle.yuv,EVC,android,0.36,735.279,8913
cartoon,boulle.yuv,EVC,android,0.36,735.279,8913
cartoon,paw_patrol.yuv,EVC,windows,2.75336,1147.7,5.13522
cartoon,paw_patrol.yuv,EVC,android,2.75,1456.92,11145.7
cartoon,paw_patrol.yuv,EVC,android,2.75,1456.92,11145.7
cartoon,penguins_of_madagascar.yuv,EVC,windows,2.1489,958.48,5.13634
cartoon,penguins_of_madagascar.yuv,EVC,android,2.15,1030.03,13375.5
cartoon,penguins_of_madagascar.yuv,EVC,android,2.15,1030.03,13375.5
cartoon,peppa_pig.yuv,EVC,windows,1.18048,610.27,5.13744
cartoon,peppa_pig.yuv,EVC,android,1.18,588.66,15605.5
cartoon,peppa_pig.yuv,EVC,android,1.18,588.66,15605.5
cartoon,pocoyo.yuv,EVC,windows,0.584645,454.61,5.13855
cartoon,pocoyo.yuv,EVC,android,0.58,477.082,17838.5
cartoon,pocoyo.yuv,EVC,android,0.58,477.082,17838.5
cartoon,shaun_the_sheep.yuv,EVC,windows,1.64845,889.54,5.13966
cartoon,shaun_the_sheep.yuv,EVC,android,1.64,1114.32,20068.2
cartoon,shaun_the_sheep.yuv,EVC,android,1.64,1114.32,20068.2
cartoon,tom_and_jerry.yuv,EVC,windows,1.48457,604.04,5.14077
cartoon,tom_and_jerry.yuv,EVC,android,1.48,816.052,22301.4
cartoon,tom_and_jerry.yuv,EVC,android,1.48,816.052,22301.4
