categoria,codificador,platform,temps_mitja
cartoon,EVC,windows,750.02998046875
cartoon,EVC,android,889.3136352539062
drone,EVC,windows,898.7580017089844
drone,EVC,android,1249.808740234375
film,EVC,windows,773.4140014648438
film,EVC,android,1440.9344116210937
ia,EVC,windows,860.225
ia,EVC,android,1440.5541015625
interview,EVC,windows,665.6760009765625
interview,EVC,android,1156.1913513183595
sport,EVC,windows,1176.4849975585937
sport,EVC,android,2235.5699829101563
timelapse,EVC,windows,1028.6520080566406
timelapse,EVC,android,1653.909979248047
videoclip,EVC,windows,1079.4550048828125
videoclip,EVC,android,1683.1453002929688
videogame,EVC,windows,1235.3559936523438
videogame,EVC,android,2165.119775390625
cartoon,VVC,windows,492.6699981689453
cartoon,VVC,android,897.8899230957031
drone,VVC,windows,621.8730072021484
drone,VVC,android,1737.6099853515625
film,VVC,windows,503.9289978027344
film,VVC,android,1433.2712158203126
ia,VVC,windows,692.5549926757812
ia,VVC,android,1651.0144653320312
interview,VVC,windows,633.1370086669922
interview,VVC,android,1406.2992919921876
sport,VVC,windows,791.0579956054687
sport,VVC,android,2242.330773925781
timelapse,VVC,windows,768.1029968261719
timelapse,VVC,android,1982.745849609375
videoclip,VVC,windows,611.9920043945312
videoclip,VVC,android,1622.99873046875
videogame,VVC,windows,927.3770141601562
videogame,VVC,android,2069.419287109375
